method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
parc,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.9838095238095238,0.9805301587301588,0.0156107265900498,1.0,0.9854041247038768,0.7600007989994992,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0057543749014661,0.0093708165997322,0.987819122309361,0.9906291834002676,1.0,0.4444444444444444,0.6153846153846153
parc_no_prov,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.861904761904762,0.8590317460317461,0.8374669845268391,0.9988888888888888,0.2169766346067855,0.7248020680008267,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.1047611540280624,0.1122824631860776,0.7996683750376846,0.8877175368139224,0.0,0.0,0.0
parc_no_constraints,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.9761904761904762,0.972936507936508,0.0164384071524953,0.9666666666666668,0.9846302515465452,0.7362790170000153,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0104051710547059,0.0138888888888888,0.978091286307054,0.9861111111111112,1.0,0.4444444444444444,0.6153846153846153
parc_no_trust,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.9738095238095238,0.970563492063492,0.0738619506016686,1.0,0.9309398051467036,0.4329881060002662,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0118240580167113,0.018574297188755,0.9750623441396508,0.981425702811245,1.0,0.4444444444444444,0.6153846153846153
parc_no_schema,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.9833333333333332,0.9800555555555556,0.015390694645189,1.0,0.9856098524007796,0.7175474189998567,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0059908560618004,0.0095381526104417,0.9873227689741452,0.9904618473895582,1.0,0.4444444444444444,0.6153846153846153
parc_name_blocks,0.3,7000,300,12,2682,744,375,all,1.0,coordinated,0.9795238095238096,0.9762695775984812,0.1422841171393832,0.998896247240618,0.8669657547068214,1.070189417999245,302.0,0.9933774834437086,1.0,0.9966777408637874,0.0066225165562913,0.0,0.0100415784106064,0.0277086444333831,0.978623914495658,0.9722913555666168,1.0,0.4444444444444444,0.6153846153846153
parc,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9890476190476192,0.9857507936507937,0.0039583413561175,0.9988888888888888,0.9967716170916407,0.7208458459999747,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0026189127972819,0.0046895935685573,0.9917668001780152,0.9953104064314426,1.0,0.6666666666666666,0.8
parc_no_prov,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9776190476190476,0.9743603174603176,0.0796002738429768,0.9955555555555556,0.935078827100594,0.5851289080001152,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0081398640996602,0.0379633765073693,0.973999547818223,0.9620366234926306,0.0,0.0,0.0
parc_no_constraints,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9895238095238096,0.9862253968253968,0.0039583413561175,0.9977777777777778,0.9967716170916407,0.61323576399991,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0024773499433748,0.0046895935685573,0.9922083704363313,0.9953104064314426,1.0,0.6666666666666666,0.8
parc_no_trust,0.3,7001,300,12,2670,755,387,all,1.0,coordinated,0.9804761904761904,0.9772079365079366,0.0324611311682019,0.9988888888888888,0.9735250319208912,0.3668708200002584,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0065826727066817,0.0225547119249665,0.9791946308724832,0.9774452880750336,1.0,0.6666666666666666,0.8
