method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,search_case,operator_mix,search_seed
no_repair,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.7961038961038961,0.7961038961038961,0.21759078566999712,0.740909090909091,0.0,0.22851291500001025,220.0,1.0,1.0,1.0,0.0,0.0,0.1702962526976653,0.20880829015544042,0.46797425681887833,0.7911917098445596,0.0,0.0,0.0,0,duplicate+provenance+trust,42000
majority,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.9961038961038962,0.9961038961038962,0.0361072014901102,1.0,0.834059142812825,0.31843546900000774,220.0,1.0,1.0,1.0,0.0,0.0,0.0006866784382970375,0.0062176165803108805,0.9963636363636363,0.9937823834196892,0.0,0.0,0.0,0,duplicate+provenance+trust,42000
iterative_truth,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.9974025974025974,0.9974025974025974,0.014392929632693723,1.0,0.933853220905584,0.6698293829999784,220.0,1.0,1.0,1.0,0.0,0.0,0.0006866784382970375,0.0062176165803108805,0.9963636363636363,0.9937823834196892,0.0,0.0,0.0,0,duplicate+provenance+trust,42000
source_dependence,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.990909090909091,0.990909090909091,0.04719238967668907,0.996969696969697,0.783114025111973,0.30934655899994823,220.0,1.0,1.0,1.0,0.0,0.0,0.004120070629782225,0.011917098445595855,0.978450487429451,0.9880829015544041,1.0,0.6666666666666666,0.8,0,duplicate+provenance+trust,42000
dependency_truth,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.9935064935064936,0.9935064935064936,0.026027087325194695,1.0,0.8803851585670179,0.7959414119999906,220.0,1.0,1.0,1.0,0.0,0.0,0.002354326074161271,0.008808290155440414,0.9876097057305111,0.9911917098445596,1.0,0.6666666666666666,0.8,0,duplicate+provenance+trust,42000
parc,0.15,42000,220,12,1732,48,48,duplicate+provenance+trust,0.5,coordinated,0.9935064935064936,0.9935064935064936,0.026027087325194695,1.0,0.8803851585670179,1.0240385299999843,220.0,1.0,1.0,1.0,0.0,0.0,0.002354326074161271,0.008808290155440414,0.9876097057305111,0.9911917098445596,1.0,0.6666666666666666,0.8,0,duplicate+provenance+trust,42000
no_repair,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.5818181818181818,0.5818181818181818,0.8781189176816031,0.48636363636363633,0.0,0.24887296299999662,220.0,1.0,1.0,1.0,0.0,0.0,0.3681252066571145,0.28228346456692915,0.35308928917296145,0.7177165354330709,0.0,0.0,0.0,1,schema+fd+outlier,42017
majority,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.9915584415584415,0.9915584415584415,0.012925854810274934,0.9878787878787879,0.9852800633832128,0.29454711300002145,220.0,1.0,1.0,1.0,0.0,0.0,0.0018736911716080678,0.008661417322834646,0.9932938856015779,0.9913385826771653,0.0,0.0,0.0,1,schema+fd+outlier,42017
iterative_truth,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.9961038961038962,0.9961038961038962,0.013060707498626985,1.0,0.9851264934217455,0.6589724849999925,220.0,1.0,1.0,1.0,0.0,0.0,0.0008817370219332085,0.0031496062992125984,0.9968503937007874,0.9968503937007874,0.0,0.0,0.0,1,schema+fd+outlier,42017
source_dependence,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.9785714285714285,0.9785714285714285,0.016762815185016638,0.9848484848484849,0.9809105408760882,0.3447090529999741,220.0,1.0,1.0,1.0,0.0,0.0,0.010139975752231897,0.019291338582677165,0.9643825009678668,0.9807086614173228,1.0,1.0,1.0,1,schema+fd+outlier,42017
dependency_truth,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.9915584415584415,0.9915584415584415,0.027161452546841425,1.0,0.9690685942417085,0.8548603020000201,220.0,1.0,1.0,1.0,0.0,0.0,0.003526948087732834,0.007480314960629921,0.9874657265961614,0.99251968503937,1.0,1.0,1.0,1,schema+fd+outlier,42017
parc,0.2,42017,220,12,1659,183,0,fd+outlier+schema,1.0,coordinated,0.9922077922077922,0.9922077922077922,0.026641794655812265,1.0,0.9696603795689182,1.0725415040000144,220.0,1.0,1.0,1.0,0.0,0.0,0.0030860795767662296,0.007086614173228346,0.9890196078431372,0.9929133858267717,1.0,1.0,1.0,1,schema+fd+outlier,42017
no_repair,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.5993506493506493,0.5939020070838252,0.5810436281877044,0.6,0.0,0.1915143159999957,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.35145317545748117,0.23360459550023935,0.29008878420003625,0.7663954044997606,0.0,0.0,0.0,2,key+duplicate+schema+provenance,42034
majority,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.9564935064935065,0.9477981109799293,0.07761545905679726,0.9590909090909091,0.8664206002931611,0.2618022550000205,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.029153211338356657,0.03303015797032073,0.8614072494669509,0.9669698420296793,0.0,0.0,0.0,2,key+duplicate+schema+provenance,42034
iterative_truth,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.9753246753246754,0.9664580873671784,0.049939366496474506,1.0,0.914052294743792,0.7153972680000038,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.01776103336921421,0.006701771182383916,0.9128904531456226,0.9932982288176161,0.0,0.0,0.0,2,key+duplicate+schema+provenance,42034
source_dependence,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.9772727272727273,0.9683884297520662,0.011911482025540468,0.990909090909091,0.9794998491547136,0.33994881299997814,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.020182992465016147,0.003350885591191958,0.9024707412223667,0.996649114408808,1.0,0.4444444444444444,0.6153846153846153,2,key+duplicate+schema+provenance,42034
dependency_truth,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.9792207792207792,0.9703187721369539,0.00840894428641155,1.0,0.9855278607690109,0.9201547809999511,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.01955507714388231,0.003350885591191958,0.9052173913043479,0.996649114408808,1.0,0.4444444444444444,0.6153846153846153,2,key+duplicate+schema+provenance,42034
parc,0.25,42034,220,12,1903,427,213,duplicate+key+provenance+schema,0.5,coordinated,0.9805194805194806,0.9716056670602126,0.0015069322842990573,1.0,0.9974065075130429,0.9657024370000045,220.0,0.990909090909091,0.990909090909091,0.990909090909091,0.00909090909090909,0.00909090909090909,0.01847865087908145,0.0019147917663954045,0.9100829332169358,0.9980852082336046,1.0,0.4444444444444444,0.6153846153846153,2,key+duplicate+schema+provenance,42034
