Method,integrated_quality_mean,cell_accuracy_mean,entity_f1_mean,aggregate_distortion_mean,attack_success_reduction_mean,false_positive_rate_mean,false_negative_rate_mean,runtime_sec_mean
PARC,0.9962857142857142,0.9962857142857142,1.0,0.0152060228099478,0.9682371160443236,0.0014964461268469,0.0049923568915818,0.7308616759999836
Dep.+truth,0.9961904761904762,0.9961904761904762,1.0,0.0152365162616698,0.968194515052726,0.0015404989902831,0.0050639132422079,0.6075849615997868
Iter. truth,0.9929523809523808,0.9929523809523808,1.0,0.0436536192593192,0.9023148656545013,0.0034381928518498,0.0114384854388381,0.5078620033999073
FD repair,0.9895238095238096,0.9895238095238096,1.0,0.0434474649709184,0.9077494044716176,0.0051072813901756,0.0141337537135684,0.1916298218000747
Outlier removal,0.9895238095238096,0.9895238095238096,1.0,0.0434474649709184,0.9077494044716176,0.0051072813901756,0.0141337537135684,0.2812826237999616
Rule-only,0.9895238095238096,0.9895238095238096,1.0,0.0434474649709184,0.9077494044716176,0.0051072813901756,0.0141337537135684,0.1896309583999481
Source-dep. vote,0.9893333333333332,0.9893333333333332,1.0,0.0165579747148526,0.9646941773313276,0.0049790573765289,0.0115430484787122,0.2786688453998976
Majority,0.9868571428571428,0.9868571428571428,1.0,0.0434474649709184,0.9077494044716176,0.0060410854847981,0.019673146855465,0.2125542711999855
Random weights,0.9741904761904762,0.9741904761904762,1.0,0.1089597656858856,0.7762457507750433,0.014341757516542,0.0366878995568339,0.1781762690001186
Prov.-unaware,0.9648571428571427,0.9648571428571427,1.0,0.1276371769220856,0.7258508137377915,0.02181680163769,0.0484923748290583,0.1729237267998541
No repair,0.6640952380952381,0.6640952380952381,1.0,0.5108647362193588,0.0,0.3016038361238088,0.2300987383666752,0.1946581518003085
