method,budget,seed,cluster,attribute,attribute_type,margin,margin_bin,independent_groups,filtered_claims,correct,incorrect,low_margin,has_independent_support,n_attacked_records,n_duplicates
parc,0.2,0,K:E00000,name,categorical,4.667595647471915,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00000,city,categorical,5.8750315758163545,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00000,state,categorical,5.3536351172488565,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00000,zip,categorical,4.467398288672692,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00000,category,categorical,5.3536351172488565,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00000,revenue,numeric,1.4540328001975151,"[0.75,1.5)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00000,employees,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00001,name,categorical,6.371787076838387,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00001,city,categorical,5.926169242402912,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00001,state,categorical,3.7843119151370566,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00001,zip,categorical,5.938475241835642,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00001,category,categorical,6.829710910706591,>=3,5,0,1,0,0,1,379,102
parc,0.2,0,K:E00001,revenue,numeric,1.91195663406572,"[1.5,3)",5,1,1,0,0,1,379,102
parc,0.2,0,K:E00001,employees,numeric,1.91195663406572,"[1.5,3)",5,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,name,categorical,5.704261992956352,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,city,categorical,4.944943319194779,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,state,categorical,4.663856503690526,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,zip,categorical,2.6613624175342103,"[1.5,3)",6,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,category,categorical,6.137573827959097,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00002,revenue,numeric,1.91195663406572,"[1.5,3)",5,3,1,0,0,1,379,102
parc,0.2,0,K:E00002,employees,numeric,0.685255682373074,"[0.25,0.75)",6,1,1,0,1,1,379,102
parc,0.2,0,K:E00003,name,categorical,6.824600078133583,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00003,city,categorical,6.824600078133583,>=3,6,0,1,0,0,1,379,102
parc,0.2,0,K:E00003,state,categorical,6.66517989177537,>=3,6,0,1,0,0,1,379,102
