method,budget,margin_bin,n_cells,accuracy,error_rate,mean_margin,mean_independent_groups,low_margin_rate
dependency_truth,0.2,>=3,6229,1.0,0.0,5.371924643130856,5.530261679242254,0.0
dependency_truth,0.2,"[0,0.25)",281,0.9501779359430605,0.0498220640569395,0.1274368018981566,4.818505338078292,1.0
dependency_truth,0.2,"[0.25,0.75)",821,0.9780755176613886,0.02192448233861145,0.554949039001883,4.87332521315469,1.0
dependency_truth,0.2,"[0.75,1.5)",781,0.9884763124199744,0.011523687580025609,1.1301757522739575,4.569782330345711,0.0
dependency_truth,0.2,"[1.5,3)",2388,0.9995812395309883,0.0004187604690117253,1.965671781998687,4.6373534338358455,0.0
dependency_truth,0.3,>=3,5758,0.9965265717262939,0.0034734282737061478,5.063381130966824,6.038034039597083,0.0
dependency_truth,0.3,"[0,0.25)",347,0.9135446685878963,0.08645533141210375,0.12410593414775148,5.270893371757925,1.0
dependency_truth,0.3,"[0.25,0.75)",766,0.9556135770234987,0.044386422976501305,0.5148973923579274,4.990861618798956,1.0
dependency_truth,0.3,"[0.75,1.5)",1180,0.9550847457627119,0.044915254237288135,1.138589209767938,5.1745762711864405,0.0
dependency_truth,0.3,"[1.5,3)",2449,0.9869334422213148,0.013066557778685178,2.0358809209507,5.023274806043283,0.0
dependency_truth,0.35,>=3,5396,0.9929577464788732,0.007042253521126761,5.007039677028317,6.313194959229058,0.0
dependency_truth,0.35,"[0,0.25)",490,0.8877551020408163,0.11224489795918367,0.13885010238204734,5.469387755102041,1.0
dependency_truth,0.35,"[0.25,0.75)",769,0.9245773732119635,0.0754226267880364,0.513394765948494,5.317295188556567,1.0
dependency_truth,0.35,"[0.75,1.5)",1543,0.9637070641607258,0.03629293583927414,1.1714163807836568,5.395333765392094,0.0
dependency_truth,0.35,"[1.5,3)",2302,0.974370112945265,0.025629887054735012,2.1281278740601395,5.256733275412684,0.0
parc,0.2,>=3,6277,1.0,0.0,5.437883591307501,5.5301895810100365,0.0
parc,0.2,"[0,0.25)",266,0.9624060150375939,0.03759398496240601,0.123087852553788,5.093984962406015,1.0
parc,0.2,"[0.25,0.75)",813,0.977859778597786,0.02214022140221402,0.5615364442729652,5.0344403444034445,1.0
parc,0.2,"[0.75,1.5)",772,0.9883419689119171,0.011658031088082901,1.1315356067675106,4.734455958549223,0.0
parc,0.2,"[1.5,3)",2372,0.9995784148397976,0.00042158516020236085,1.9576258909912272,4.7870994940978076,0.0
parc,0.3,>=3,5809,0.9965570666207609,0.003442933379239112,5.094673599283648,6.035462213806163,0.0
parc,0.3,"[0,0.25)",344,0.9186046511627907,0.08139534883720931,0.12408528335835033,5.354651162790698,1.0
parc,0.3,"[0.25,0.75)",729,0.9588477366255144,0.0411522633744856,0.5099037402879545,5.2181069958847734,1.0
parc,0.3,"[0.75,1.5)",1395,0.9598566308243728,0.04014336917562724,1.1896466550540727,5.306810035842294,0.0
parc,0.3,"[1.5,3)",2223,0.9856050382366172,0.014394961763382817,2.0765672713563066,5.111111111111111,0.0
parc,0.35,>=3,5431,0.9930031301786043,0.006996869821395691,5.032421956728301,6.312649604124471,0.0
parc,0.35,"[0,0.25)",494,0.888663967611336,0.11133603238866396,0.13970900408174863,5.560728744939271,1.0
parc,0.35,"[0.25,0.75)",738,0.9227642276422764,0.07723577235772358,0.5145440014712097,5.497289972899729,1.0
parc,0.35,"[0.75,1.5)",1535,0.9641693811074918,0.035830618892508145,1.1654713769328284,5.509446254071661,0.0
parc,0.35,"[1.5,3)",2302,0.9752389226759339,0.02476107732406603,2.123161011466211,5.324066029539531,0.0
