suite,dataset,budget,seed,method,cert_kind,n_entities,n_records,n_attacked_records,point_distortion,coverage,mean_relative_width,miss_distance,cell_accuracy,integrated_quality,runtime_sec
synthetic-control,synthetic,0.2,11,no_repair,point-output,300,2766,415,0.8068100741494894,0.0,0.0,0.8068100741494894,0.559047619047619,0.559047619047619,0.5222324139999728
synthetic-control,synthetic,0.2,11,dependency_truth,point-output,300,2766,415,0.0,1.0,0.0,0.0,0.9985714285714286,0.9985714285714286,1.963380690000008
synthetic-control,synthetic,0.2,11,parc,parc-certificate,300,2766,415,0.0,1.0,0.2277746812894587,0.0,0.9985714285714286,0.9985714285714286,2.184398580999982
synthetic-control,synthetic,0.35,31,no_repair,point-output,300,3223,1187,1.5315846744616006,0.0,0.0,1.5315846744616006,0.4671428571428571,0.4515714285714285,0.5433980960000326
synthetic-control,synthetic,0.35,31,dependency_truth,point-output,300,3223,1187,0.0277972384642658,0.0833333333333333,0.0,0.0277972384642658,0.9485714285714286,0.916952380952381,2.0513986939999995
synthetic-control,synthetic,0.35,31,parc,parc-certificate,300,3223,1187,0.0315606587143224,1.0,1.840805588020476,0.0,0.948095238095238,0.9164920634920636,2.278350703000001
public-tabular,iris,0.2,11,no_repair,point-output,150,1370,206,1.030300731854095,0.0,0.0,1.030300731854095,0.5438095238095239,0.5438095238095239,0.2811299200000121
public-tabular,iris,0.2,11,dependency_truth,point-output,150,1370,206,0.004753052627492,0.3333333333333333,0.0,0.004753052627492,0.9971428571428572,0.9971428571428572,0.9651745490000394
public-tabular,iris,0.2,11,parc,parc-certificate,150,1370,206,0.004753052627492,1.0,0.2873319500483922,0.0,0.9971428571428572,0.9971428571428572,1.0483244399999876
public-tabular,iris,0.35,31,no_repair,point-output,150,1658,610,1.8186271426630167,0.0,0.0,1.8186271426630167,0.4466666666666666,0.4436888888888888,0.2450873640000281
public-tabular,iris,0.35,31,dependency_truth,point-output,150,1658,610,0.0409252809970298,0.0,0.0,0.0409252809970298,0.981904761904762,0.9753587301587302,1.0497018400000115
public-tabular,iris,0.35,31,parc,parc-certificate,150,1658,610,0.0409252809970298,0.75,1728655.640734756,0.0220255081241628,0.981904761904762,0.9753587301587302,1.199222486000053
public-tabular,wine,0.2,11,no_repair,point-output,178,1627,245,1.1498287554289754,0.0,0.0,1.1498287554289754,0.5545746388443018,0.5545746388443018,0.2982396039999457
public-tabular,wine,0.2,11,dependency_truth,point-output,178,1627,245,0.0054535928500491,0.0,0.0,0.0054535928500491,0.9951845906902088,0.9951845906902088,1.204650362999928
public-tabular,wine,0.2,11,parc,parc-certificate,178,1627,245,0.0054535928500491,1.0,0.1898874715881573,0.0,0.9951845906902088,0.9951845906902088,1.291592126000069
public-tabular,wine,0.35,31,no_repair,point-output,178,1947,709,1.289638276405897,0.0,0.0,1.289638276405897,0.4799357945425361,0.4745432575252042,0.3353374299999814
public-tabular,wine,0.35,31,dependency_truth,point-output,178,1947,709,0.0137287560199254,0.0,0.0,0.0137287560199254,0.9743178170144462,0.9633704258120368,1.2390072470000175
public-tabular,wine,0.35,31,parc,parc-certificate,178,1947,709,0.0125579604627533,0.75,1.0479224900147213,0.0064413778679398,0.9751203852327448,0.9641639764099048,1.2943150109999806
public-tabular,breast_cancer,0.2,11,no_repair,point-output,569,5167,797,1.0921308488276806,0.0,0.0,1.0921308488276806,0.5541049460205875,0.5541049460205875,1.180108410999992
public-tabular,breast_cancer,0.2,11,dependency_truth,point-output,569,5167,797,0.0063263219233198,0.0,0.0,0.0063263219233198,0.9992467988953052,0.9992467988953052,4.010096331999989
public-tabular,breast_cancer,0.2,11,parc,parc-certificate,569,5167,797,0.0003384211322402,1.0,0.2803143243717588,0.0,0.9992467988953052,0.9992467988953052,4.070012442000007
public-tabular,diabetes,0.2,11,no_repair,point-output,442,4031,621,1.0463442464909196,0.0,0.0,1.0463442464909196,0.5410471881060116,0.5410471881060116,0.9038151849999848
public-tabular,diabetes,0.2,11,dependency_truth,point-output,442,4031,621,0.0072500942347187,0.0,0.0,0.0072500942347187,0.9970911441499676,0.9970911441499676,3.36619788400003
public-tabular,diabetes,0.2,11,parc,parc-certificate,442,4031,621,0.0067221730790301,0.8,0.2085217819684118,0.0029877172136108,0.997737556561086,0.997737556561086,3.393963953000025
