suite,budget,method,cert_kind,point_distortion,coverage,mean_relative_width,miss_distance,cell_accuracy,integrated_quality
public-tabular,0.2,dependency_truth,point-output,0.0059457654088949,0.08333333333333333,0.0,0.0059457654088949,0.9971663477195847,0.9971663477195847
public-tabular,0.2,no_repair,point-output,1.0796511456504176,0.0,0.0,1.0796511456504176,0.5483840741951062,0.5483840741951062
public-tabular,0.2,parc,parc-certificate,0.00431680992220285,0.95,0.24151388199418,0.0007469293034027,0.9973279508223643,0.9973279508223643
public-tabular,0.35,dependency_truth,point-output,0.027327018508477602,0.0,0.0,0.027327018508477602,0.978111289459604,0.9693645779853834
public-tabular,0.35,no_repair,point-output,1.5541327095344568,0.0,0.0,1.5541327095344568,0.4633012306046014,0.4591160732070465
public-tabular,0.35,parc,parc-certificate,0.02674162072989155,0.75,864328.3443286229,0.0142334429960513,0.9785125735687534,0.9697613532843175
synthetic-control,0.2,dependency_truth,point-output,0.0,1.0,0.0,0.0,0.9985714285714286,0.9985714285714286
synthetic-control,0.2,no_repair,point-output,0.8068100741494894,0.0,0.0,0.8068100741494894,0.559047619047619,0.559047619047619
synthetic-control,0.2,parc,parc-certificate,0.0,1.0,0.2277746812894587,0.0,0.9985714285714286,0.9985714285714286
synthetic-control,0.35,dependency_truth,point-output,0.0277972384642658,0.0833333333333333,0.0,0.0277972384642658,0.9485714285714286,0.916952380952381
synthetic-control,0.35,no_repair,point-output,1.5315846744616006,0.0,0.0,1.5315846744616006,0.4671428571428571,0.4515714285714285
synthetic-control,0.35,parc,parc-certificate,0.0315606587143224,1.0,1.840805588020476,0.0,0.948095238095238,0.9164920634920636
