dataset,budget,method,cert_kind,point_distortion_mean,point_distortion_std,coverage_mean,coverage_std,mean_relative_width_mean,mean_relative_width_std,miss_distance_mean,miss_distance_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std
breast_cancer,0.2,dependency_truth,point-output,0.0063263219233198,,0.0,,0.0,,0.0063263219233198,,0.9992467988953052,,0.9992467988953052,
breast_cancer,0.2,no_repair,point-output,1.0921308488276806,,0.0,,0.0,,1.0921308488276806,,0.5541049460205875,,0.5541049460205875,
breast_cancer,0.2,parc,parc-certificate,0.0003384211322402,,1.0,,0.2803143243717588,,0.0,,0.9992467988953052,,0.9992467988953052,
diabetes,0.2,dependency_truth,point-output,0.0072500942347187,,0.0,,0.0,,0.0072500942347187,,0.9970911441499676,,0.9970911441499676,
diabetes,0.2,no_repair,point-output,1.0463442464909196,,0.0,,0.0,,1.0463442464909196,,0.5410471881060116,,0.5410471881060116,
diabetes,0.2,parc,parc-certificate,0.0067221730790301,,0.8,,0.2085217819684118,,0.0029877172136108,,0.997737556561086,,0.997737556561086,
iris,0.2,dependency_truth,point-output,0.004753052627492,,0.3333333333333333,,0.0,,0.004753052627492,,0.9971428571428572,,0.9971428571428572,
iris,0.2,no_repair,point-output,1.030300731854095,,0.0,,0.0,,1.030300731854095,,0.5438095238095239,,0.5438095238095239,
iris,0.2,parc,parc-certificate,0.004753052627492,,1.0,,0.2873319500483922,,0.0,,0.9971428571428572,,0.9971428571428572,
iris,0.35,dependency_truth,point-output,0.0409252809970298,,0.0,,0.0,,0.0409252809970298,,0.981904761904762,,0.9753587301587302,
iris,0.35,no_repair,point-output,1.8186271426630167,,0.0,,0.0,,1.8186271426630167,,0.4466666666666666,,0.4436888888888888,
iris,0.35,parc,parc-certificate,0.0409252809970298,,0.75,,1728655.640734756,,0.0220255081241628,,0.981904761904762,,0.9753587301587302,
synthetic,0.2,dependency_truth,point-output,0.0,,1.0,,0.0,,0.0,,0.9985714285714286,,0.9985714285714286,
synthetic,0.2,no_repair,point-output,0.8068100741494894,,0.0,,0.0,,0.8068100741494894,,0.559047619047619,,0.559047619047619,
synthetic,0.2,parc,parc-certificate,0.0,,1.0,,0.2277746812894587,,0.0,,0.9985714285714286,,0.9985714285714286,
synthetic,0.35,dependency_truth,point-output,0.0277972384642658,,0.0833333333333333,,0.0,,0.0277972384642658,,0.9485714285714286,,0.916952380952381,
synthetic,0.35,no_repair,point-output,1.5315846744616006,,0.0,,0.0,,1.5315846744616006,,0.4671428571428571,,0.4515714285714285,
synthetic,0.35,parc,parc-certificate,0.0315606587143224,,1.0,,1.840805588020476,,0.0,,0.948095238095238,,0.9164920634920636,
wine,0.2,dependency_truth,point-output,0.0054535928500491,,0.0,,0.0,,0.0054535928500491,,0.9951845906902088,,0.9951845906902088,
wine,0.2,no_repair,point-output,1.1498287554289754,,0.0,,0.0,,1.1498287554289754,,0.5545746388443018,,0.5545746388443018,
wine,0.2,parc,parc-certificate,0.0054535928500491,,1.0,,0.1898874715881573,,0.0,,0.9951845906902088,,0.9951845906902088,
wine,0.35,dependency_truth,point-output,0.0137287560199254,,0.0,,0.0,,0.0137287560199254,,0.9743178170144462,,0.9633704258120368,
wine,0.35,no_repair,point-output,1.289638276405897,,0.0,,0.0,,1.289638276405897,,0.4799357945425361,,0.4745432575252042,
wine,0.35,parc,parc-certificate,0.0125579604627533,,0.75,,1.0479224900147213,,0.0064413778679398,,0.9751203852327448,,0.9641639764099048,
