suite,dataset,budget,method,cert_kind,point_distortion_mean,point_distortion_std,coverage_mean,coverage_std,mean_relative_width_mean,mean_relative_width_std,miss_distance_mean,miss_distance_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,runtime_sec_mean,runtime_sec_std
public-tabular,breast_cancer,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.1795695529999648,
public-tabular,breast_cancer,0.2,iterative_truth,baseline-candidate-certificate,0.0,,1.0,,0.0078528624594981,,0.0,,0.9995238095238096,,0.9995238095238096,,0.9604307159997916,
public-tabular,breast_cancer,0.2,no_repair,point-output,0.9594487486998592,,0.0,,0.0,,0.9594487486998592,,0.5528571428571428,,0.5528571428571428,,0.2618761950002408,
public-tabular,breast_cancer,0.2,parc,parc-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.2780761999997594,
public-tabular,diabetes,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.3661660489997305,
public-tabular,diabetes,0.2,iterative_truth,baseline-candidate-certificate,0.0,,1.0,,0.0026602982549693,,0.0,,0.9995238095238096,,0.9995238095238096,,0.873160217000077,
public-tabular,diabetes,0.2,no_repair,point-output,0.9423769196718078,,0.0,,0.0,,0.9423769196718078,,0.5561904761904762,,0.5561904761904762,,0.369713404000322,
public-tabular,diabetes,0.2,parc,parc-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.4452086119999876,
public-tabular,digits,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238095,,0.9995238095238095,,1.22149982000019,
public-tabular,digits,0.2,iterative_truth,baseline-candidate-certificate,0.0,,1.0,,0.0049185844458571725,,0.0,,0.9995238095238095,,0.9995238095238095,,0.8588400240000738,
public-tabular,digits,0.2,no_repair,point-output,0.9555611588411589,,0.0,,0.0,,0.9555611588411589,,0.5661904761904762,,0.5661904761904762,,0.2881732609998835,
public-tabular,digits,0.2,parc,parc-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238095,,0.9995238095238095,,1.2030493710003611,
public-tabular,iris,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0724399529407781,,0.0,,1.0,,1.0,,0.6012570220000271,
public-tabular,iris,0.2,iterative_truth,baseline-candidate-certificate,0.0066619610583736,,0.75,,369270.5201788606,,2.542270883078058e-05,,0.9914285714285714,,0.9914285714285714,,0.4017781369998374,
public-tabular,iris,0.2,no_repair,point-output,1.030300731854095,,0.0,,0.0,,1.030300731854095,,0.5438095238095239,,0.5438095238095239,,0.1412000669997724,
public-tabular,iris,0.2,parc,parc-certificate,0.0,,1.0,,0.0724399529407781,,0.0,,1.0,,1.0,,0.6420284550003998,
public-tabular,wine,0.2,dependency_truth,baseline-candidate-certificate,0.0014781545550142,,1.0,,0.0044812569259667,,0.0,,0.9983948635634028,,0.9983948635634028,,0.6729334070000732,
public-tabular,wine,0.2,iterative_truth,baseline-candidate-certificate,0.0010271059291929,,1.0,,0.0089220127431475,,0.0,,0.9991974317817014,,0.9991974317817014,,0.4560461060000307,
public-tabular,wine,0.2,no_repair,point-output,1.1498287554289754,,0.0,,0.0,,1.1498287554289754,,0.5545746388443018,,0.5545746388443018,,0.2301445680000142,
public-tabular,wine,0.2,parc,parc-certificate,0.000839311508052,,1.0,,0.0044812569259667,,0.0,,0.9991974317817014,,0.9991974317817014,,0.780500906999805,
synthetic-control,synthetic,0.2,dependency_truth,baseline-candidate-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.1849800200002392,
synthetic-control,synthetic,0.2,iterative_truth,baseline-candidate-certificate,0.0,,1.0,,0.0098144986838801,,0.0,,0.9995238095238096,,0.9995238095238096,,0.8937034170003244,
synthetic-control,synthetic,0.2,no_repair,point-output,0.8068100741494894,,0.0,,0.0,,0.8068100741494894,,0.559047619047619,,0.559047619047619,,0.2756416869997338,
synthetic-control,synthetic,0.2,parc,parc-certificate,0.0,,1.0,,0.0,,0.0,,0.9995238095238096,,0.9995238095238096,,1.279396564999843,
