suite,dataset,budget,seed,method,n_entities,point_distortion,coverage,total_norm_width,total_norm_miss,mean_relative_width,cell_accuracy,integrated_quality,runtime_sec
synthetic-control,synthetic,0.2,11,no_repair,300,0.8068100741494894,0.0,0.0,0.8068100741494894,0.0,0.559047619047619,0.559047619047619,0.3037286510002559
synthetic-control,synthetic,0.2,11,iterative_truth,300,0.0,1.0,0.00932791070724033,0.0,0.009814498683880176,0.9995238095238095,0.9995238095238095,0.9640741359999083
synthetic-control,synthetic,0.2,11,dependency_truth,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.3034541460001492
synthetic-control,synthetic,0.2,11,parc,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.5001981749996958
public-tabular,iris,0.2,11,no_repair,150,1.030300731854095,0.0,0.0,1.030300731854095,0.0,0.5438095238095239,0.5438095238095239,0.13936395900009302
public-tabular,iris,0.2,11,iterative_truth,150,0.006661961058373614,0.75,0.03796986391784598,2.542270883078058e-05,369270.5201788606,0.9914285714285714,0.9914285714285714,0.4658443480002461
public-tabular,iris,0.2,11,dependency_truth,150,0.0,1.0,0.03322931298895424,0.0,0.07243995294077817,1.0,1.0,0.6929292330000862
public-tabular,iris,0.2,11,parc,150,0.0,1.0,0.03322931298895424,0.0,0.07243995294077817,1.0,1.0,0.6704659759998322
public-tabular,wine,0.2,11,no_repair,178,1.1498287554289754,0.0,0.0,1.1498287554289754,0.0,0.5545746388443018,0.5545746388443018,0.2228053799999543
public-tabular,wine,0.2,11,iterative_truth,178,0.0010271059291929636,1.0,0.01162948692131075,0.0,0.00892201274314758,0.9991974317817014,0.9991974317817014,0.4848990230002528
public-tabular,wine,0.2,11,dependency_truth,178,0.001478154555014241,1.0,0.005549432836171117,0.0,0.004481256925966786,0.9983948635634029,0.9983948635634029,0.7501043430002028
public-tabular,wine,0.2,11,parc,178,0.0008393115080520849,1.0,0.005549432836171117,0.0,0.004481256925966786,0.9991974317817014,0.9991974317817014,0.8095870219999597
public-tabular,breast_cancer,0.2,11,no_repair,300,0.9594487486998593,0.0,0.0,0.9594487486998593,0.0,0.5528571428571428,0.5528571428571428,0.2996847300000809
public-tabular,breast_cancer,0.2,11,iterative_truth,300,0.0,1.0,0.00923628335429793,0.0,0.007852862459498141,0.9995238095238095,0.9995238095238095,0.992433549999987
public-tabular,breast_cancer,0.2,11,dependency_truth,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.224223997000081
public-tabular,breast_cancer,0.2,11,parc,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.2958750489997328
public-tabular,diabetes,0.2,11,no_repair,300,0.9423769196718078,0.0,0.0,0.9423769196718078,0.0,0.5561904761904762,0.5561904761904762,0.331436204000056
public-tabular,diabetes,0.2,11,iterative_truth,300,0.0,1.0,0.0028633036002319538,0.0,0.002660298254969384,0.9995238095238095,0.9995238095238095,0.8322427250000146
public-tabular,diabetes,0.2,11,dependency_truth,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.175041328000134
public-tabular,diabetes,0.2,11,parc,300,0.0,1.0,0.0,0.0,0.0,0.9995238095238095,0.9995238095238095,1.375162950000231
