dataset,budget,method,seed_mean,seed_std,n_entities_mean,n_entities_std,n_sources_mean,n_sources_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std
breast_cancer,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.6733333333333333,,1.0,,1.2311684660003266,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0001369581592823,,0.0007038948850305,,0.999530626613471,,0.9992961051149696,
breast_cancer,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.6733333333333333,,1.0,,0.8949006650000229,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
breast_cancer,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9928571428571428,,0.9928571428571428,,0.0418106880948186,,0.6666666666666667,,0.9661414662941616,,0.4063169619998916,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0036978703006231,,0.010323791647114,,0.9873595505617978,,0.989676208352886,
breast_cancer,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4376190476190476,,0.4376190476190476,,1.234864110125623,,0.3255555555555556,,0.0,,0.2455175850000159,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5240703964938711,,0.2904739558892539,,0.2832256251756111,,0.7095260441107462,
breast_cancer,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.6733333333333333,,1.0,,1.4594277740002326,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0001369581592823,,0.0007038948850305,,0.999530626613471,,0.9992961051149696,
diabetes,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.8511111111111112,,1.0,,1.243799831999695,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0001341831600134,,0.0007575757575757,,0.9994948219247284,,0.9992424242424244,
diabetes,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.8511111111111112,,1.0,,1.1023784639996848,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
diabetes,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9938095238095238,,0.9938095238095238,,0.0310413050634673,,0.8411111111111111,,0.9733320346115992,,0.3578806410000652,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0034216705803421,,0.0113636363636363,,0.98714069591528,,0.9886363636363636,
diabetes,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4457142857142857,,0.4457142857142857,,1.1639922510537208,,0.3577777777777777,,0.0,,0.3031813239999792,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5186179134518618,,0.3083333333333333,,0.2616295730251218,,0.6916666666666667,
diabetes,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9995238095238096,,0.9995238095238096,,0.0,,0.8511111111111112,,1.0,,1.4131588250002096,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0001341831600134,,0.0007575757575757,,0.9994948219247284,,0.9992424242424244,
digits,0.2,dependency_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,1.1756075569996938,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
digits,0.2,iterative_truth,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,0.8020278520002648,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
digits,0.2,majority,21.0,,300.0,,12.0,,2695.0,,425.0,,0.9933333333333332,,0.9933333333333332,,0.03666666000666,,0.9422222222222222,,0.9688220086859616,,0.4475017709996791,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.003656914893617,,0.0128104575163398,,0.9856434351344296,,0.98718954248366,
digits,0.2,no_repair,21.0,,300.0,,12.0,,2695.0,,425.0,,0.4523809523809524,,0.4523809523809524,,1.1760430502830503,,0.3888888888888888,,0.0,,0.2739607080002315,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.5123005319148937,,0.3184313725490196,,0.2528122575640031,,0.6815686274509803,
digits,0.2,parc,21.0,,300.0,,12.0,,2695.0,,425.0,,1.0,,1.0,,0.0,,0.9533333333333334,,1.0,,1.331644044999848,,300.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
iris,0.2,dependency_truth,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.6217556310002692,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
iris,0.2,iterative_truth,21.0,,150.0,,12.0,,1373.0,,226.0,,1.0,,1.0,,0.0,,0.6777777777777778,,1.0,,0.4488343230000282,,150.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,
