method,budget,n,integrated_quality_mean,integrated_quality_ci95_low,integrated_quality_ci95_high,aggregate_distortion_mean,aggregate_distortion_ci95_low,aggregate_distortion_ci95_high,false_positive_rate_mean,false_positive_rate_ci95_low,false_positive_rate_ci95_high,runtime_sec_mean,runtime_sec_ci95_low,runtime_sec_ci95_high
dependency_truth,0.35,5,0.9525549206349208,0.9379307936507935,0.9641752380952383,0.04629192127336116,0.035326883336149015,0.060206263730504084,0.014517880466565419,0.007802290122605461,0.01896459801475736,0.7941212876000691,0.6652815908001912,0.9447191373999886
iterative_truth,0.35,5,0.8734971428571429,0.8225333333333336,0.9232457142857143,0.6085211027077093,0.2822023886438692,0.9348398167715495,0.0756362011035148,0.034693590610911,0.1165788115961186,0.5081018339999673,0.4889044897997792,0.5272991782001555
majority,0.35,5,0.8403619047619048,0.824136507936508,0.8541066666666666,0.6989551804418419,0.5898966971891102,0.8080136636945738,0.09411601800828366,0.08507668173353808,0.10258869026321005,0.23746795459999243,0.22413136419984309,0.24703938040001955
no_repair,0.35,5,0.46553079365079364,0.4550707936507936,0.4759907936507936,1.3860523875660709,1.282031350529355,1.4848333120519563,0.4803613414080413,0.4702534635030604,0.48952237286931766,0.17177717480000182,0.1630628396000247,0.1794911070000239
outlier_removal,0.35,5,0.8434463492063493,0.8303977777777778,0.8578609523809522,0.6982822725497735,0.5898966971891102,0.8066678479104367,0.09514876093861566,0.08555003556832781,0.10310292861443808,0.43956460939984937,0.29281909539995465,0.5944271225996545
parc,0.35,5,0.9529269841269843,0.938764761904762,0.9640815873015873,0.05087561583465759,0.03643027271260334,0.06532095895671185,0.01420107729340126,0.00775921945960696,0.01821957422547016,0.8323837440000261,0.6975060514002507,1.0650254203997975
provenance_unaware,0.35,5,0.7757219047619048,0.7379914285714287,0.8134523809523809,1.0429599918382058,0.842389716499634,1.2612233092263438,0.1561615214229483,0.12051872069845124,0.1918043221474454,0.2018145194001249,0.19010358140014885,0.21613247999994195
random_weighting,0.35,5,0.795960634920635,0.780104126984127,0.8181669841269841,0.9541568929667111,0.7386714162682244,1.1696423696651979,0.13865200628821697,0.11902489227082047,0.1529131025445782,0.20099865039991296,0.18813450979957905,0.21539845240004066
rule_only,0.35,5,0.8434463492063493,0.8309728730158731,0.8578609523809522,0.6989551804418419,0.5898966971891102,0.8080147539622885,0.09514876093861566,0.08556792284547705,0.10310292861443808,0.21259582600009702,0.1963676548000421,0.2362699040002553
source_dependence,0.35,5,0.9363390476190476,0.917467619047619,0.951895873015873,0.07573576818787184,0.05335799222191251,0.09811354415383115,0.022980954634697643,0.01329077838672244,0.0301064477151697,0.29512250499985837,0.27829271279993006,0.3173877699996638
standard_fd,0.35,5,0.8434463492063493,0.8295606349206348,0.8578609523809522,0.6989551804418419,0.5940307298854102,0.8080136636945738,0.09514876093861566,0.08555003556832778,0.10310292861443808,0.24151053479992016,0.1999897850000934,0.30092849287495915
