suite,dataset,budget,seed,method,query,query_l1_distortion,runtime_sec
heldout_public_sql,iris,0.17,41,no_repair,category_join_filter,0.8302242152466368,0.4056897500000218
heldout_public_sql,iris,0.17,41,no_repair,geo_join_groupby,0.7473691378875236,0.4056897500000218
heldout_public_sql,iris,0.17,41,no_repair,having_top_groups,0.9669822530235086,0.4056897500000218
heldout_public_sql,iris,0.17,41,no_repair,selection_groupby,0.9915072311843612,0.4056897500000218
heldout_public_sql,iris,0.17,41,dependency_truth,category_join_filter,0.002170325937142,1.5312666439999705
heldout_public_sql,iris,0.17,41,dependency_truth,geo_join_groupby,0.0,1.5312666439999705
heldout_public_sql,iris,0.17,41,dependency_truth,having_top_groups,0.0043406518742841,1.5312666439999705
heldout_public_sql,iris,0.17,41,dependency_truth,selection_groupby,0.0043406518742841,1.5312666439999705
heldout_public_sql,iris,0.17,41,parc,category_join_filter,0.002170325937142,1.249281375999999
heldout_public_sql,iris,0.17,41,parc,geo_join_groupby,0.0,1.249281375999999
heldout_public_sql,iris,0.17,41,parc,having_top_groups,0.0043406518742841,1.249281375999999
heldout_public_sql,iris,0.17,41,parc,selection_groupby,0.0043406518742841,1.249281375999999
heldout_public_sql,iris,0.17,42,no_repair,category_join_filter,0.785441872925281,0.2899732879999988
heldout_public_sql,iris,0.17,42,no_repair,geo_join_groupby,0.5872202977889076,0.2899732879999988
heldout_public_sql,iris,0.17,42,no_repair,having_top_groups,1.0359740958592976,0.2899732879999988
heldout_public_sql,iris,0.17,42,no_repair,selection_groupby,1.0637680896084485,0.2899732879999988
heldout_public_sql,iris,0.17,42,dependency_truth,category_join_filter,0.0010102459573311,1.3586512169999878
heldout_public_sql,iris,0.17,42,dependency_truth,geo_join_groupby,0.0165558363908139,1.3586512169999878
heldout_public_sql,iris,0.17,42,dependency_truth,having_top_groups,0.0010102459573311,1.3586512169999878
heldout_public_sql,iris,0.17,42,dependency_truth,selection_groupby,0.0010102459573311,1.3586512169999878
heldout_public_sql,iris,0.17,42,parc,category_join_filter,0.0,1.7237226649999684
heldout_public_sql,iris,0.17,42,parc,geo_join_groupby,0.0155455904334828,1.7237226649999684
heldout_public_sql,iris,0.17,42,parc,having_top_groups,0.0,1.7237226649999684
heldout_public_sql,iris,0.17,42,parc,selection_groupby,0.0,1.7237226649999684
heldout_public_sql,iris,0.27,41,no_repair,category_join_filter,0.8372328693727797,0.3640311430000338
heldout_public_sql,iris,0.27,41,no_repair,geo_join_groupby,0.481541560382816,0.3640311430000338
heldout_public_sql,iris,0.27,41,no_repair,having_top_groups,1.5006936346165043,0.3640311430000338
heldout_public_sql,iris,0.27,41,no_repair,selection_groupby,1.533978017199542,0.3640311430000338
heldout_public_sql,iris,0.27,41,dependency_truth,category_join_filter,0.002170325937142,1.2107189980000044
heldout_public_sql,iris,0.27,41,dependency_truth,geo_join_groupby,0.0,1.2107189980000044
heldout_public_sql,iris,0.27,41,dependency_truth,having_top_groups,0.0043406518742841,1.2107189980000044
heldout_public_sql,iris,0.27,41,dependency_truth,selection_groupby,0.0043406518742841,1.2107189980000044
heldout_public_sql,iris,0.27,41,parc,category_join_filter,0.002170325937142,1.5148772860000008
heldout_public_sql,iris,0.27,41,parc,geo_join_groupby,0.0,1.5148772860000008
heldout_public_sql,iris,0.27,41,parc,having_top_groups,0.0043406518742841,1.5148772860000008
heldout_public_sql,iris,0.27,41,parc,selection_groupby,0.0043406518742841,1.5148772860000008
heldout_public_sql,iris,0.27,42,no_repair,category_join_filter,0.8293113738279657,0.2964434169999776
heldout_public_sql,iris,0.27,42,no_repair,geo_join_groupby,0.536723203851455,0.2964434169999776
heldout_public_sql,iris,0.27,42,no_repair,having_top_groups,1.4162584202046085,0.2964434169999776
heldout_public_sql,iris,0.27,42,no_repair,selection_groupby,1.4325537398326635,0.2964434169999776
heldout_public_sql,iris,0.27,42,dependency_truth,category_join_filter,0.0074901636480111,1.443264757999998
heldout_public_sql,iris,0.27,42,dependency_truth,geo_join_groupby,0.0018876943684118,1.443264757999998
heldout_public_sql,iris,0.27,42,dependency_truth,having_top_groups,0.0139700813386912,1.443264757999998
heldout_public_sql,iris,0.27,42,dependency_truth,selection_groupby,0.0139700813386912,1.443264757999998
heldout_public_sql,iris,0.27,42,parc,category_join_filter,0.0234899151670452,1.7718017830000008
heldout_public_sql,iris,0.27,42,parc,geo_join_groupby,0.0308472812688059,1.7718017830000008
heldout_public_sql,iris,0.27,42,parc,having_top_groups,0.0299698328577252,1.7718017830000008
heldout_public_sql,iris,0.27,42,parc,selection_groupby,0.0299698328577252,1.7718017830000008
heldout_public_sql,wine,0.17,41,no_repair,category_join_filter,0.8303533970420848,0.3833148669999673
heldout_public_sql,wine,0.17,41,no_repair,geo_join_groupby,0.59147071096472,0.3833148669999673
heldout_public_sql,wine,0.17,41,no_repair,having_top_groups,1.0555407818027542,0.3833148669999673
heldout_public_sql,wine,0.17,41,no_repair,selection_groupby,1.133159676257181,0.3833148669999673
heldout_public_sql,wine,0.17,41,dependency_truth,category_join_filter,0.0,1.6182629859999906
heldout_public_sql,wine,0.17,41,dependency_truth,geo_join_groupby,0.0090875788715463,1.6182629859999906
heldout_public_sql,wine,0.17,41,dependency_truth,having_top_groups,0.0,1.6182629859999906
heldout_public_sql,wine,0.17,41,dependency_truth,selection_groupby,0.0,1.6182629859999906
heldout_public_sql,wine,0.17,41,parc,category_join_filter,0.0,1.8994952470000044
heldout_public_sql,wine,0.17,41,parc,geo_join_groupby,0.0090875788715463,1.8994952470000044
heldout_public_sql,wine,0.17,41,parc,having_top_groups,0.0,1.8994952470000044
heldout_public_sql,wine,0.17,41,parc,selection_groupby,0.0,1.8994952470000044
heldout_public_sql,wine,0.27,41,no_repair,category_join_filter,0.8440796528884592,0.3346076909999738
