Method,integrated_quality_mean,cell_accuracy_mean,entity_f1_mean,aggregate_distortion_mean,runtime_sec_mean
PARC,0.952926984126984,0.9677142857142856,0.9846666666666668,0.0508756158346575,0.8323837440000261
Dep.+truth,0.9525549206349208,0.9673333333333334,0.9846666666666668,0.0462919212733611,0.7941212876000691
Source-dep. vote,0.9363390476190476,0.9508571428571428,0.9846666666666668,0.0757357681878718,0.2951225049998583
Iter. truth,0.8734971428571429,0.886952380952381,0.9846666666666668,0.6085211027077093,0.5081018339999673
FD repair,0.8434463492063493,0.8565714285714285,0.9846666666666668,0.6989551804418419,0.2415105347999201
Rule-only,0.8434463492063493,0.8565714285714285,0.9846666666666668,0.6989551804418419,0.212595826000097
Outlier removal,0.8434463492063493,0.8565714285714285,0.9846666666666668,0.6982822725497735,0.4395646093998493
Majority,0.8403619047619048,0.8534285714285714,0.9846666666666668,0.6989551804418419,0.2374679545999924
Random weights,0.795960634920635,0.8083809523809524,0.9846666666666668,0.9541568929667112,0.2009986503999129
Prov.-unaware,0.7757219047619048,0.7877142857142857,0.9846666666666668,1.0429599918382055,0.2018145194001249
No repair,0.4655307936507936,0.4728571428571427,0.9846666666666668,1.386052387566071,0.1717771748000018
