method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,operator_label
majority,0.25,9000,300,12,2574,621,285,all,1.0,coordinated,0.929047619047619,0.9197571428571428,0.2608760146001896,0.9333333333333332,0.7639949653817002,0.2127078499997878,300.0,0.99,0.99,0.99,0.01,0.01,0.0383601756954612,0.0963313609467455,0.8793182865039152,0.9036686390532545,0.0,0.0,0.0,all
dependency_truth,0.25,9000,300,12,2574,621,285,all,1.0,coordinated,0.9804761904761904,0.9706714285714286,0.042585025557511,1.0,0.9614748774573072,0.619074768000246,300.0,0.99,0.99,0.99,0.01,0.01,0.0054172767203513,0.0071005917159763,0.9826657296790816,0.9928994082840236,1.0,0.4444444444444444,0.6153846153846153,all
parc,0.25,9000,300,12,2574,621,285,all,1.0,coordinated,0.9804761904761904,0.9706714285714286,0.0426758626983933,1.0,0.9613927004023894,0.6703290539999216,300.0,0.99,0.99,0.99,0.01,0.01,0.0054172767203513,0.0068639053254437,0.9826697892271664,0.9931360946745562,1.0,0.4444444444444444,0.6153846153846153,all
majority,0.25,9001,300,12,2588,626,288,all,1.0,coordinated,0.9423809523809524,0.9392396825396826,0.1772171494356609,0.9333333333333332,0.82052559696559,0.2112888730007398,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0349215968487235,0.0715171558495246,0.906925095901474,0.9284828441504754,0.0,0.0,0.0,all
dependency_truth,0.25,9001,300,12,2588,626,288,all,1.0,coordinated,0.9871428571428572,0.9838523809523808,0.0212622589457087,1.0,0.9784669190109644,0.6066618029999518,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.004999621240815,0.0049607275733774,0.9864754098360656,0.9950392724266226,1.0,0.4444444444444444,0.6153846153846153,all
parc,0.25,9001,300,12,2588,626,288,all,1.0,coordinated,0.9866666666666668,0.9833777777777778,0.0288036981999055,1.0,0.9708294227952912,0.6413069370000812,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0051511249147791,0.0053741215378255,0.9860655737704918,0.9946258784621744,1.0,0.4444444444444444,0.6153846153846153,all
majority,0.25,9002,300,12,2588,637,303,all,1.0,coordinated,0.9466666666666668,0.9435111111111112,0.21226361296075,0.9533333333333334,0.779258066518206,0.2164328170001681,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0304190911099653,0.0827570823109524,0.9087292817679558,0.9172429176890476,0.0,0.0,0.0,all
dependency_truth,0.25,9002,300,12,2588,637,303,all,1.0,coordinated,0.9890476190476192,0.9857507936507937,0.0116436448060338,1.0,0.9878912799447428,0.6095471689995975,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0043455844442807,0.003122908766451,0.986969964664311,0.996877091233549,1.0,0.7777777777777778,0.8750000000000001,all
parc,0.25,9002,300,12,2588,637,303,all,1.0,coordinated,0.9890476190476192,0.9857507936507937,0.0116436448060338,1.0,0.9878912799447428,0.6730283870001585,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0043455844442807,0.003122908766451,0.986969964664311,0.996877091233549,1.0,0.7777777777777778,0.8750000000000001,all
majority,0.25,9000,300,12,2574,285,285,duplicate,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0084530558503003,0.9933333333333332,0.9156354574780268,0.201574874000471,300.0,1.0,1.0,1.0,0.0,0.0,0.0014425489212242,0.0149469623915139,0.988867376573088,0.985053037608486,0.0,0.0,0.0,duplicate
dependency_truth,0.25,9000,300,12,2574,285,285,duplicate,1.0,coordinated,0.9985714285714286,0.9985714285714286,0.0046903540596813,1.0,0.9531885768272744,0.8817946250001114,300.0,1.0,1.0,1.0,0.0,0.0,0.0015052684395383,0.0033751205400192,0.988522238163558,0.9966248794599808,1.0,1.0,1.0,duplicate
parc,0.25,9000,300,12,2574,285,285,duplicate,1.0,coordinated,0.9985714285714286,0.9985714285714286,0.0046903540596813,1.0,0.9531885768272744,0.5795077029997628,300.0,1.0,1.0,1.0,0.0,0.0,0.0015052684395383,0.0033751205400192,0.988522238163558,0.9966248794599808,1.0,1.0,1.0,duplicate
majority,0.25,9001,300,12,2588,288,288,duplicate,1.0,coordinated,0.9895238095238096,0.9895238095238096,0.0385655710101025,0.9855555555555556,0.741344560125461,0.2050185600000986,300.0,1.0,1.0,1.0,0.0,0.0,0.0038884861266723,0.0278627251104315,0.9797945205479452,0.9721372748895684,0.0,0.0,0.0,duplicate
dependency_truth,0.25,9001,300,12,2588,288,288,duplicate,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0075045392802601,1.0,0.9496678032309448,0.5953737090003415,300.0,1.0,1.0,1.0,0.0,0.0,0.0011204112568378,0.0057764186204553,0.9942235813795448,0.9942235813795448,1.0,1.0,1.0,duplicate
parc,0.25,9001,300,12,2588,288,288,duplicate,1.0,coordinated,0.9966666666666668,0.9966666666666668,0.0075045392802601,1.0,0.9496678032309448,0.8904587500001071,300.0,1.0,1.0,1.0,0.0,0.0,0.0011204112568378,0.0057764186204553,0.9942235813795448,0.9942235813795448,1.0,1.0,1.0,duplicate
majority,0.25,9002,300,12,2588,303,303,duplicate,1.0,coordinated,0.9933333333333332,0.9933333333333332,0.0125404796152269,0.9911111111111112,0.895046615844546,0.2100553720001698,300.0,1.0,1.0,1.0,0.0,0.0,0.0024171490363208,0.0183716075156576,0.9840937630807868,0.9816283924843424,0.0,0.0,0.0,duplicate
