operator_label,method,cell_accuracy_mean,cell_accuracy_std,integrated_quality_mean,integrated_quality_std,aggregate_distortion_mean,aggregate_distortion_std,data_quality_score_mean,data_quality_score_std,attack_success_reduction_mean,attack_success_reduction_std,entity_precision_mean,entity_precision_std,entity_recall_mean,entity_recall_std,entity_f1_mean,entity_f1_std,group_precision_mean,group_precision_std,group_recall_mean,group_recall_std,group_f1_mean,group_f1_std,duplicate_output_rate_mean,duplicate_output_rate_std,missing_entity_rate_mean,missing_entity_rate_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std,repair_precision_mean,repair_precision_std,repair_recall_mean,repair_recall_std,runtime_sec_mean,runtime_sec_std,n_output_rows_mean,n_output_rows_std,n_records_mean,n_records_std,n_attacked_records_mean,n_attacked_records_std,n_duplicates_mean,n_duplicates_std
all,dependency_truth,0.9855555555555556,0.0045007767869073454,0.9800915343915344,0.008213086383319433,0.0251636431030845,0.015835335786131537,1.0,0.0,0.975944358804338,0.013387645894315797,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,1.0,0.0,0.5555555555555555,0.19245008972987526,0.701923076923077,0.14988901219346065,0.005555555555555533,0.003849001794597525,0.005555555555555533,0.003849001794597525,0.004920827468482333,0.0005401735161650882,0.0050614093519349,0.001990751874829256,0.9853703680598195,0.002355302039538709,0.994938590648065,0.0019907518748292457,0.6117612466665984,0.006495924103718142,300.0,0.0,2583.3333333333335,8.082903768654727,628.0,8.18535277187245,292.0,9.643650760992955
all,majority,0.9393650793650794,0.009188543262480262,0.9341693121693121,0.012662710757266061,0.21678559233220018,0.04201235119855905,0.94,0.011547005383792589,0.787926209621832,0.02924518089304759,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555533,0.003849001794597525,0.005555555555555533,0.003849001794597525,0.03456695455138333,0.003982403102122782,0.08353519970240751,0.012425389074709074,0.8983242213911149,0.016484324140302542,0.9164648002975925,0.012425389074709088,0.21347651333356524,0.002656722126575137,300.0,0.0,2583.3333333333335,8.082903768654727,628.0,8.18535277187245,292.0,9.643650760992955
all,parc,0.9853968253968254,0.004424558687227588,0.9799333333333333,0.008108326642861683,0.02770773523477753,0.015545111384143197,1.0,0.0,0.9733711343808077,0.013430893595683386,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,0.9944444444444445,0.003849001794597586,1.0,0.0,0.5555555555555555,0.19245008972987526,0.701923076923077,0.14988901219346065,0.005555555555555533,0.003849001794597525,0.005555555555555533,0.003849001794597525,0.0049713286931370336,0.0005580108373812447,0.0051203118765734005,0.001883368875634161,0.9852351092206564,0.0022671856395000307,0.9948796881234264,0.00188336887563418,0.6615547926667205,0.017587022032860843,300.0,0.0,2583.3333333333335,8.082903768654727,628.0,8.18535277187245,292.0,9.643650760992955
duplicate,dependency_truth,0.9976190476190476,0.0009523809523808435,0.9976190476190476,0.0009523809523808435,0.004585436919373267,0.002972949725716225,1.0,0.0,0.9632628716457233,0.020573721796966857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011296633061240334,0.00037106562688644825,0.003885586122385,0.0016942897433010657,0.9925826340029141,0.0035378845041151223,0.9961144138776149,0.0016942897433009784,0.6970046340002227,0.16029912031583957,300.0,0.0,2583.3333333333335,8.082903768654727,292.0,9.643650760992955,292.0,9.643650760992955
duplicate,majority,0.9931746031746033,0.0035740730949834604,0.9931746031746033,0.0035740730949834604,0.01985303549187657,0.01633389106732294,0.9899999999999999,0.004006168083848757,0.8506755444826779,0.0952413943899429,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002582728028072433,0.0012313466226578649,0.020393765005867665,0.006691118915342555,0.98425188673394,0.004538494401286303,0.9796062349941322,0.006691118915342575,0.20554960200024644,0.004265116151427142,300.0,0.0,2583.3333333333335,8.082903768654727,292.0,9.643650760992955,292.0,9.643650760992955
duplicate,parc,0.9976190476190476,0.0009523809523808435,0.9976190476190476,0.0009523809523808435,0.004585436919373267,0.002972949725716225,1.0,0.0,0.9632628716457233,0.020573721796966857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011296633061240334,0.00037106562688644825,0.003885586122385,0.0016942897433010657,0.9925826340029141,0.0035378845041151223,0.9961144138776149,0.0016942897433009784,0.7824635950000811,0.1758857429878317,300.0,0.0,2583.3333333333335,8.082903768654727,292.0,9.643650760992955,292.0,9.643650760992955
fd,dependency_truth,0.9957142857142857,0.002182178902360017,0.9957142857142857,0.002182178902360017,0.007403122202806734,0.0057916622473816945,1.0,0.0,0.9351413574717321,0.06037921811751833,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0014620113303234334,0.0007689771830536502,0.0054634972597292,0.002626535742486557,0.9924018363246075,0.0030573811283354686,0.9945365027402708,0.0026265357424865477,0.788685568333373,0.23985658565755724,300.0,0.0,2291.3333333333335,7.767453465154075,140.66666666666666,8.962886439832506,0.0,0.0
fd,majority,0.9963492063492062,0.0007273929674534155,0.9963492063492062,0.0007273929674534155,0.007357884130870467,0.004877012817719216,0.9944444444444445,0.00400616808384888,0.9351371420332849,0.05392867117368994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006669101265029667,0.00015671331240712114,0.004999450537801267,0.0011040607874249642,0.9964364582858821,0.0005749365136856327,0.9950005494621986,0.001104060787424936,0.2261964603333884,0.03419762648309438,300.0,0.0,2291.3333333333335,7.767453465154075,140.66666666666666,8.962886439832506,0.0,0.0
fd,parc,0.9957142857142857,0.002182178902360017,0.9957142857142857,0.002182178902360017,0.007403122202806734,0.0057916622473816945,1.0,0.0,0.9351413574717321,0.06037921811751833,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0014620113303234334,0.0007689771830536502,0.0054634972597292,0.002626535742486557,0.9924018363246075,0.0030573811283354686,0.9945365027402708,0.0026265357424865477,0.8966431190001458,0.4874194568239531,300.0,0.0,2291.3333333333335,7.767453465154075,140.66666666666666,8.962886439832506,0.0,0.0
key,dependency_truth,0.9942857142857142,0.0012598815766974322,0.9942857142857142,0.0012598815766974322,0.01684071742265167,0.004084216489900122,1.0,0.0,0.8740298605966427,0.01514143113299186,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0026010794011624336,0.0003024089411422892,0.0069268127181792,0.0008612420236996626,0.9835715189905071,0.002453625373723369,0.9930731872818207,0.0008612420236996948,0.7569475363334277,0.2383373790064617,300.0,0.0,2291.3333333333335,7.767453465154075,128.0,7.937253933193772,0.0,0.0
