method,integrated_quality_mean,integrated_quality_std,cell_accuracy_mean,cell_accuracy_std,aggregate_distortion_mean,aggregate_distortion_std,false_positive_rate_mean,false_positive_rate_std,runtime_sec_mean,runtime_sec_std,entity_f1_mean,entity_f1_std
parc,0.9529269841269841,0.017104999166111128,0.9677142857142856,0.011524399827462633,0.05087561583465759,0.018767620009900204,0.01420107729340126,0.007049282418981271,0.8323837440000261,0.2640604492764591,0.9846666666666668,0.006912147117775901
dependency_truth,0.9525549206349208,0.017758680417157547,0.9673333333333334,0.012213148559336593,0.04629192127336116,0.015867530629207482,0.014517880466565419,0.007534539107909193,0.7941212876000691,0.18247094235566536,0.9846666666666668,0.006912147117775901
source_dependence,0.9363390476190476,0.02121477100259076,0.9508571428571428,0.01658278209865645,0.07573576818787184,0.029429136302837024,0.02298095463469764,0.010622799299564702,0.29512250499985837,0.02600115624208487,0.9846666666666668,0.006912147117775901
iterative_truth,0.8734971428571429,0.06464622946566166,0.886952380952381,0.06303690025414316,0.6085211027077093,0.4145704230887194,0.0756362011035148,0.052246612101283375,0.5081018339999673,0.024317641190108485,0.9846666666666668,0.006912147117775901
standard_fd,0.8434463492063493,0.017547856150537826,0.8565714285714285,0.016240818093175,0.6989551804418419,0.1397186941633483,0.09514876093861566,0.012041976600738382,0.24151053479992016,0.06870312396898232,0.9846666666666668,0.006912147117775901
rule_only,0.8434463492063493,0.017547856150537826,0.8565714285714285,0.016240818093175,0.6989551804418419,0.1397186941633483,0.09514876093861566,0.012041976600738382,0.21259582600009702,0.02586271186107264,0.9846666666666668,0.006912147117775901
outlier_removal,0.8434463492063493,0.017547856150537826,0.8565714285714285,0.016240818093175,0.6982822725497735,0.13897478829753435,0.09514876093861566,0.012041976600738382,0.43956460939984937,0.19654770245114964,0.9846666666666668,0.006912147117775901
majority,0.8403619047619048,0.01882039160957109,0.8534285714285714,0.01703803934085431,0.6989551804418419,0.1397186941633483,0.09411601800828366,0.011254309474824824,0.23746795459999243,0.015017809647746053,0.9846666666666668,0.006912147117775901
random_weighting,0.795960634920635,0.025605049464413873,0.8083809523809524,0.02639444385977217,0.9541568929667111,0.28094686720761647,0.13865200628821697,0.021257872739245946,0.20099865039991296,0.01700321349130644,0.9846666666666668,0.006912147117775901
provenance_unaware,0.7757219047619048,0.04843728079250459,0.7877142857142857,0.047264633482460156,1.0429599918382055,0.2709018863187369,0.1561615214229483,0.04499845540555863,0.2018145194001249,0.015998727914532943,0.9846666666666668,0.006912147117775901
no_repair,0.46553079365079364,0.013395759596136031,0.47285714285714275,0.016312564888533967,1.386052387566071,0.13621160166516819,0.4803613414080414,0.012452346693453327,0.17177717480000182,0.010594053998841795,0.9846666666666668,0.006912147117775901
