suite,dataset,budget,seed,method,operators,n_entities,n_records,n_attacked_records,n_duplicates,n_schema_sources,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall
public_metadata_stress,iris,0.25,31,no_repair,schema+duplicate+provenance+trust+outlier,150,1478,340,165,1,0.6361904761904762,0.6361904761904762,1.0352367285927824,0.46444444444444444,0.0,0.16507981399996652,150.0,1.0,1.0,1.0,0.0,0.0,0.31297229219143574,0.2797173732335827,0.41085822664770033,0.7202826267664173
public_metadata_stress,iris,0.25,31,majority,schema+duplicate+provenance+trust+outlier,150,1478,340,165,1,0.96,0.96,0.397373695960243,0.6799999999999999,0.6161518568797295,0.21301718800003755,150.0,1.0,1.0,1.0,0.0,0.0,0.02115869017632242,0.10723192019950124,0.927461139896373,0.8927680798004988
public_metadata_stress,iris,0.25,31,iterative_truth,schema+duplicate+provenance+trust+outlier,150,1478,340,165,1,0.9419047619047619,0.9419047619047619,0.5974966785083377,0.7022222222222223,0.42284053298560353,0.5224192379999977,150.0,1.0,1.0,1.0,0.0,0.0,0.033501259445843826,0.1400665004156276,0.8860813704496788,0.8599334995843724
public_metadata_stress,iris,0.25,31,dependency_truth,schema+duplicate+provenance+trust+outlier,150,1478,340,165,1,0.9876190476190476,0.9876190476190476,0.041314029468289555,0.6777777777777778,0.9600921911605198,0.7118825320000042,150.0,1.0,1.0,1.0,0.0,0.0,0.0046599496221662465,0.01371571072319202,0.9846473029045644,0.986284289276808
public_metadata_stress,iris,0.25,31,parc,schema+duplicate+provenance+trust+outlier,150,1478,340,165,1,0.9876190476190476,0.9876190476190476,0.053411946498942015,0.6777777777777778,0.9484060553265474,0.74186389099998,150.0,1.0,1.0,1.0,0.0,0.0,0.004408060453400504,0.014131338320864505,0.9854590776900706,0.9858686616791354
public_metadata_stress,wine,0.25,31,no_repair,schema+duplicate+provenance+trust+outlier,178,1725,389,186,1,0.6436597110754414,0.6436597110754414,0.9033724375629278,0.47003745318352064,0.0,0.17419977700001255,178.0,1.0,1.0,1.0,0.0,0.0,0.2969825840421223,0.3601637107776262,0.3241935483870968,0.6398362892223738
public_metadata_stress,wine,0.25,31,majority,schema+duplicate+provenance+trust+outlier,178,1725,389,186,1,0.9735152487961477,0.9735152487961477,0.30241102450553226,0.7303370786516854,0.6652421394199702,0.3329574520000165,178.0,1.0,1.0,1.0,0.0,0.0,0.01539084649655731,0.11505229649840837,0.9275500476644424,0.8849477035015917
public_metadata_stress,wine,0.25,31,iterative_truth,schema+duplicate+provenance+trust+outlier,178,1725,389,186,1,0.9686998394863563,0.9686998394863563,0.36329814063067106,0.7359550561797753,0.5978423454995392,0.560483081999962,178.0,1.0,1.0,1.0,0.0,0.0,0.018327257999189956,0.1250568440200091,0.9140142517814727,0.874943155979991
public_metadata_stress,wine,0.25,31,dependency_truth,schema+duplicate+provenance+trust+outlier,178,1725,389,186,1,0.985553772070626,0.985553772070626,0.08162182383526059,0.7340823970037453,0.9096476486979659,0.7668194039999889,178.0,1.0,1.0,1.0,0.0,0.0,0.007897934386391251,0.035015916325602546,0.9645454545454546,0.9649840836743975
public_metadata_stress,wine,0.25,31,parc,schema+duplicate+provenance+trust+outlier,178,1725,389,186,1,0.985553772070626,0.985553772070626,0.08162182383526059,0.7340823970037453,0.9096476486979659,0.7814603030000171,178.0,1.0,1.0,1.0,0.0,0.0,0.007897934386391251,0.035015916325602546,0.9645454545454546,0.9649840836743975
