method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
majority,0.2,13000,150,12,1201,189,54,all,1.0,coordinated,0.9914285714285714,0.9914285714285714,0.0235843010564764,0.9888888888888888,0.9725685151236751,0.0965794220001043,150.0,1.0,1.0,1.0,0.0,0.0,0.0041979010494752,0.0120898100172711,0.9839449541284404,0.9879101899827288,0.0,0.0,0.0
dependency_truth,0.2,13000,150,12,1201,189,54,all,1.0,coordinated,0.9942857142857144,0.9942857142857144,0.0039434348115891,1.0,0.995413293269288,0.3341823830005523,150.0,1.0,1.0,1.0,0.0,0.0,0.0029985007496251,0.005181347150259,0.988558352402746,0.9948186528497408,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13000,150,12,1201,189,54,all,1.0,coordinated,0.9952380952380953,0.9952380952380953,0.0039434348115891,1.0,0.995413293269288,0.3400663439997515,150.0,1.0,1.0,1.0,0.0,0.0,0.0023988005997001,0.0040299366724237,0.990836197021764,0.9959700633275764,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13001,150,12,1212,195,52,all,1.0,coordinated,0.9866666666666668,0.9866666666666668,0.0426933997331065,0.9711111111111111,0.9557721335807248,0.0948589130002801,150.0,1.0,1.0,1.0,0.0,0.0,0.0066025549016793,0.031641397495056,0.9696369636963696,0.968358602504944,0.0,0.0,0.0
dependency_truth,0.2,13001,150,12,1212,195,52,all,1.0,coordinated,0.998095238095238,0.998095238095238,0.0,1.0,1.0,0.3574133859992798,150.0,1.0,1.0,1.0,0.0,0.0,0.0007176690110521,0.005273566249176,0.9966974900924704,0.994726433750824,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13001,150,12,1212,195,52,all,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0004279425092488,1.0,0.9995566765764144,0.3130383460002122,150.0,1.0,1.0,1.0,0.0,0.0,0.0012918042198937,0.005932762030323,0.994067237969677,0.994067237969677,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13002,150,12,1192,181,50,all,1.0,coordinated,0.9847619047619048,0.9847619047619048,0.0558944604038767,0.9822222222222222,0.9374340580249676,0.0906718609994641,150.0,1.0,1.0,1.0,0.0,0.0,0.0067896678966789,0.02868068833652,0.9707006369426752,0.97131931166348,0.0,0.0,0.0
dependency_truth,0.2,13002,150,12,1192,181,50,all,1.0,coordinated,0.9952380952380953,0.9952380952380953,0.0029296459983716,1.0,0.9967206757124576,0.3559403219996966,150.0,1.0,1.0,1.0,0.0,0.0,0.0025092250922509,0.0050987890376035,0.9892268694550064,0.9949012109623964,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,13002,150,12,1192,181,50,all,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.0016255084092724,1.0,0.9981804732690932,0.3194408720000865,150.0,1.0,1.0,1.0,0.0,0.0,0.001180811808118,0.0031867431485022,0.9949109414758268,0.9968132568514978,1.0,0.7777777777777778,0.8750000000000001
majority,0.2,13000,300,12,2400,381,110,all,1.0,coordinated,0.9842857142857144,0.9842857142857144,0.0624764580613944,0.9711111111111111,0.9343395933920428,0.2209488879998389,300.0,1.0,1.0,1.0,0.0,0.0,0.0083783989641252,0.0174339417052574,0.9704062415926824,0.9825660582947424,0.0,0.0,0.0
