suite,dataset,budget,seed,method,margin_threshold,width_threshold,n_groups,certified_groups,certified_fraction,conditional_coverage,mean_certified_width,mean_relative_miss
synthetic-control,synthetic,0.2,11,parc,0.0,0.01,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,0.02,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,0.05,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,0.1,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,0.25,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,0.5,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,0.0,1.0,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.01,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.02,12,1,0.08333333333333333,1.0,0.01788821366754684,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.05,12,1,0.08333333333333333,1.0,0.01788821366754684,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.1,12,3,0.25,1.0,0.06124156045706388,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.25,12,9,0.75,1.0,0.1311440637966921,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,0.5,12,11,0.9166666666666666,1.0,0.16892377612178341,0.0
synthetic-control,synthetic,0.2,11,parc,1.0,1.0,12,12,1.0,1.0,0.20367007023611142,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.01,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.02,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.05,12,1,0.08333333333333333,1.0,0.046740154893810566,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.1,12,2,0.16666666666666666,1.0,0.05906429738243375,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.25,12,9,0.75,1.0,0.16263735518008063,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,0.5,12,11,0.9166666666666666,1.0,0.1952197154527078,0.0
synthetic-control,synthetic,0.2,11,parc,1.5,1.0,12,12,1.0,1.0,0.22777468128945874,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.01,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.02,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.05,12,1,0.08333333333333333,1.0,0.046740154893810566,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.1,12,2,0.16666666666666666,1.0,0.05906429738243375,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.25,12,9,0.75,1.0,0.16263735518008063,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,0.5,12,11,0.9166666666666666,1.0,0.1952197154527078,0.0
synthetic-control,synthetic,0.2,11,parc,2.0,1.0,12,12,1.0,1.0,0.22777468128945874,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.01,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.02,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.05,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.1,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.25,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,0.5,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.2,11,dependency_truth,0.0,1.0,12,12,1.0,1.0,0.0,0.0
synthetic-control,synthetic,0.35,11,parc,0.0,0.01,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,0.02,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,0.05,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,0.1,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,0.25,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,0.5,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,0.0,1.0,12,12,1.0,0.9166666666666666,0.0,0.0009942365158988299
synthetic-control,synthetic,0.35,11,parc,1.0,0.01,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.35,11,parc,1.0,0.02,12,0,0.0,0.0,,0.0
synthetic-control,synthetic,0.35,11,parc,1.0,0.05,12,0,0.0,0.0,,0.0
