suite,budget,method,margin_threshold,width_threshold,certified_fraction_mean,certified_fraction_std,conditional_coverage_mean,conditional_coverage_std,mean_certified_width_mean,mean_certified_width_std,mean_relative_miss_mean,mean_relative_miss_std,certified_groups_sum,n_groups_sum
public-tabular,0.2,dependency_truth,0.0,0.05,1.0,0.0,0.1111111111111111,0.19245008972987526,0.0,0.0,64145.339848028285,111102.97255805966,9,9
public-tabular,0.2,dependency_truth,0.0,0.1,1.0,0.0,0.1111111111111111,0.19245008972987526,0.0,0.0,64145.339848028285,111102.97255805966,9,9
public-tabular,0.2,dependency_truth,0.0,0.25,1.0,0.0,0.1111111111111111,0.19245008972987526,0.0,0.0,64145.339848028285,111102.97255805966,9,9
public-tabular,0.2,parc,1.0,0.05,0.0,0.0,0.0,0.0,,,0.0,0.0,0,8
public-tabular,0.2,parc,1.0,0.1,0.2222222222222222,0.3849001794597505,0.3333333333333333,0.5773502691896258,0.09538865197846477,,0.0,0.0,2,8
public-tabular,0.2,parc,1.0,0.25,0.5,0.16666666666666663,1.0,0.0,0.170431608999022,0.07118906598659885,0.0,0.0,4,8
public-tabular,0.2,parc,1.5,0.05,0.0,0.0,0.0,0.0,,,0.0,0.0,0,8
public-tabular,0.2,parc,1.5,0.1,0.1111111111111111,0.19245008972987526,0.3333333333333333,0.5773502691896258,0.09544164152092381,,0.0,0.0,1,8
public-tabular,0.2,parc,1.5,0.25,0.5,0.16666666666666663,1.0,0.0,0.18825494640032783,0.0688220794392413,0.0,0.0,4,8
public-tabular,0.35,dependency_truth,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,dependency_truth,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,206722.02775874248,60603.15264584534,15,15
public-tabular,0.35,parc,1.0,0.05,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.1,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.0,0.25,0.31666666666666665,0.16072751268321592,0.0,0.0,0.0,0.0,481109.55555555556,90275.30781961324,5,15
public-tabular,0.35,parc,1.5,0.05,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.1,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
public-tabular,0.35,parc,1.5,0.25,0.13888888888888887,0.1272937693043289,0.0,0.0,0.0,0.0,304592.6666666667,292705.02688087424,2,15
synthetic-control,0.2,dependency_truth,0.0,0.05,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.1,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,dependency_truth,0.0,0.25,1.0,,1.0,,0.0,,0.0,,12,12
synthetic-control,0.2,parc,1.0,0.05,0.08333333333333333,,1.0,,0.01788821366754684,,0.0,,1,12
synthetic-control,0.2,parc,1.0,0.1,0.25,,1.0,,0.06124156045706388,,0.0,,3,12
synthetic-control,0.2,parc,1.0,0.25,0.75,,1.0,,0.1311440637966921,,0.0,,9,12
synthetic-control,0.2,parc,1.5,0.05,0.08333333333333333,,1.0,,0.046740154893810566,,0.0,,1,12
synthetic-control,0.2,parc,1.5,0.1,0.16666666666666666,,1.0,,0.05906429738243375,,0.0,,2,12
synthetic-control,0.2,parc,1.5,0.25,0.75,,1.0,,0.16263735518008063,,0.0,,9,12
synthetic-control,0.35,dependency_truth,0.0,0.05,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.1,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,dependency_truth,0.0,0.25,1.0,,0.9166666666666666,,0.0,,0.0009942365158988299,,12,12
synthetic-control,0.35,parc,1.0,0.05,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.1,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.0,0.25,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.05,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.1,0.0,,0.0,,,,0.0,,0,12
synthetic-control,0.35,parc,1.5,0.25,0.0,,0.0,,,,0.0,,0,12
