method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1,source_scale_suite
parc,0.2,26000,300,6,1228,323,74,all,1.0,coordinated,0.8980952380952381,0.8741460317460318,0.0937782982621626,0.9988888888888888,0.881015049375838,1.184877747999991,300.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0458684074901219,0.0447589900535577,0.9034008683068018,0.9552410099464422,1.0,0.6666666666666666,0.8,
parc,0.2,26001,300,6,1211,280,68,all,1.0,coordinated,0.9128571428571428,0.8899976150727402,0.1371158060037486,0.9977703455964324,0.7817373313937555,1.068940447999978,299.0,0.9765886287625418,0.9733333333333334,0.9749582637729548,0.0234113712374581,0.0266666666666666,0.036624203821656,0.0712223291626564,0.8935185185185185,0.9287776708373436,1.0,0.6666666666666666,0.8,
parc,0.2,26002,300,6,1183,291,70,all,1.0,coordinated,0.9076190476190475,0.8787333492861132,0.1239803181360841,0.9921436588103256,0.8123199941993838,1.0983082939999915,297.0,0.9730639730639732,0.9633333333333334,0.9681742043551088,0.0269360269360269,0.0366666666666666,0.0372919334186939,0.0696653867251782,0.8792120269569725,0.9303346132748216,1.0,0.6666666666666666,0.8,
parc,0.2,26000,300,12,2422,391,106,all,1.0,coordinated,0.9976190476190476,0.9976190476190476,0.00411560067942,1.0,0.9956883401405427,1.2832653349999816,300.0,1.0,1.0,1.0,0.0,0.0,0.0009198926791874,0.0023023791250959,0.9969325153374232,0.997697620874904,1.0,1.0,1.0,
parc,0.2,26001,300,12,2368,338,96,all,1.0,coordinated,0.9971428571428572,0.9971428571428572,0.016795663705215,1.0,0.9753853222909644,1.236772005000006,300.0,1.0,1.0,1.0,0.0,0.0,0.0007631840036632,0.002591419522027,0.9971214738054116,0.997408580477973,1.0,0.6666666666666666,0.8,
parc,0.2,26002,300,12,2341,354,100,all,1.0,coordinated,0.9995238095238096,0.9995238095238096,0.0,1.0,1.0,1.2214626829999986,300.0,1.0,1.0,1.0,0.0,0.0,0.0005323193916349,0.0006178560395427,0.9978408389882788,0.9993821439604572,1.0,1.0,1.0,
parc,0.2,26000,300,18,3602,458,138,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.3847779230000017,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7777777777777778,0.8750000000000001,
parc,0.2,26001,300,18,3527,401,126,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.3998451489999866,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.6153846153846153,
parc,0.2,26002,300,18,3510,420,132,all,1.0,coordinated,0.9995238095238096,0.9995238095238096,0.0,1.0,1.0,1.3233071110000196,300.0,1.0,1.0,1.0,0.0,0.0,9.970586769031356e-05,0.0004433606739082,0.9995566393260916,0.9995566393260916,1.0,0.5555555555555556,0.7142857142857143,
parc,0.2,26000,300,24,4814,530,172,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.5764688309999997,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,
parc,0.2,26001,300,24,4678,475,162,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.5811080259999812,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2222222222222222,0.3636363636363636,
parc,0.2,26002,300,24,4695,496,168,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.648160093000001,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,
parc,0.2,51000,300,30,5965,576,206,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.724054135000003,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5555555555555556,0.7142857142857143,r27_extended
parc,0.2,51001,300,30,5934,554,188,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.6997992080000017,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,r27_extended
parc,0.2,51002,300,30,5988,590,208,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.7256680330000052,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.6153846153846153,r27_extended
parc,0.2,51000,300,36,7126,647,240,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.8770401259999971,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.6153846153846153,r27_extended
parc,0.2,51001,300,36,7128,629,224,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.7838903589999973,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1111111111111111,0.19999999999999998,r27_extended
parc,0.2,51002,300,36,7189,661,242,all,1.0,coordinated,1.0,1.0,0.0,1.0,1.0,1.8243126630000006,300.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,r27_extended
