dataset,budget,method,query,seed_mean,seed_std,query_l1_distortion_mean,query_l1_distortion_std,runtime_sec_mean,runtime_sec_std,n_entities_mean,n_entities_std
breast_cancer,0.2,dependency_truth,category_join_filter,21.0,,0.0,,1.2311684660003266,,300.0,
breast_cancer,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,1.2311684660003266,,300.0,
breast_cancer,0.2,dependency_truth,having_top_groups,21.0,,0.0,,1.2311684660003266,,300.0,
breast_cancer,0.2,dependency_truth,selection_groupby,21.0,,0.0,,1.2311684660003266,,300.0,
breast_cancer,0.2,iterative_truth,category_join_filter,21.0,,0.0,,0.8949006650000229,,300.0,
breast_cancer,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,0.8949006650000229,,300.0,
breast_cancer,0.2,iterative_truth,having_top_groups,21.0,,0.0,,0.8949006650000229,,300.0,
breast_cancer,0.2,iterative_truth,selection_groupby,21.0,,0.0,,0.8949006650000229,,300.0,
breast_cancer,0.2,majority,category_join_filter,21.0,,0.0197064475557064,,0.4063169619998916,,300.0,
breast_cancer,0.2,majority,geo_join_groupby,21.0,,0.0129221705298964,,0.4063169619998916,,300.0,
breast_cancer,0.2,majority,having_top_groups,21.0,,0.0418106880948186,,0.4063169619998916,,300.0,
breast_cancer,0.2,majority,selection_groupby,21.0,,0.0418106880948186,,0.4063169619998916,,300.0,
breast_cancer,0.2,no_repair,category_join_filter,21.0,,0.8310247983563886,,0.2455175850000159,,300.0,
breast_cancer,0.2,no_repair,geo_join_groupby,21.0,,0.5593889568801382,,0.2455175850000159,,300.0,
breast_cancer,0.2,no_repair,having_top_groups,21.0,,1.1802870166554376,,0.2455175850000159,,300.0,
breast_cancer,0.2,no_repair,selection_groupby,21.0,,1.234864110125623,,0.2455175850000159,,300.0,
breast_cancer,0.2,parc,category_join_filter,21.0,,0.0,,1.4594277740002326,,300.0,
breast_cancer,0.2,parc,geo_join_groupby,21.0,,0.0,,1.4594277740002326,,300.0,
breast_cancer,0.2,parc,having_top_groups,21.0,,0.0,,1.4594277740002326,,300.0,
breast_cancer,0.2,parc,selection_groupby,21.0,,0.0,,1.4594277740002326,,300.0,
diabetes,0.2,dependency_truth,category_join_filter,21.0,,0.0,,1.243799831999695,,300.0,
diabetes,0.2,dependency_truth,geo_join_groupby,21.0,,0.0,,1.243799831999695,,300.0,
diabetes,0.2,dependency_truth,having_top_groups,21.0,,0.0,,1.243799831999695,,300.0,
diabetes,0.2,dependency_truth,selection_groupby,21.0,,0.0,,1.243799831999695,,300.0,
diabetes,0.2,iterative_truth,category_join_filter,21.0,,0.0,,1.1023784639996848,,300.0,
diabetes,0.2,iterative_truth,geo_join_groupby,21.0,,0.0,,1.1023784639996848,,300.0,
diabetes,0.2,iterative_truth,having_top_groups,21.0,,0.0,,1.1023784639996848,,300.0,
diabetes,0.2,iterative_truth,selection_groupby,21.0,,0.0,,1.1023784639996848,,300.0,
diabetes,0.2,majority,category_join_filter,21.0,,0.0155206525317336,,0.3578806410000652,,300.0,
diabetes,0.2,majority,geo_join_groupby,21.0,,0.0143057977238707,,0.3578806410000652,,300.0,
diabetes,0.2,majority,having_top_groups,21.0,,0.0310413050634673,,0.3578806410000652,,300.0,
diabetes,0.2,majority,selection_groupby,21.0,,0.0310413050634673,,0.3578806410000652,,300.0,
diabetes,0.2,no_repair,category_join_filter,21.0,,0.8227246392874084,,0.3031813239999792,,300.0,
diabetes,0.2,no_repair,geo_join_groupby,21.0,,0.57770606517005,,0.3031813239999792,,300.0,
diabetes,0.2,no_repair,having_top_groups,21.0,,1.0802880423058423,,0.3031813239999792,,300.0,
diabetes,0.2,no_repair,selection_groupby,21.0,,1.1639922510537208,,0.3031813239999792,,300.0,
diabetes,0.2,parc,category_join_filter,21.0,,0.0,,1.4131588250002096,,300.0,
diabetes,0.2,parc,geo_join_groupby,21.0,,0.0,,1.4131588250002096,,300.0,
diabetes,0.2,parc,having_top_groups,21.0,,0.0,,1.4131588250002096,,300.0,
diabetes,0.2,parc,selection_groupby,21.0,,0.0,,1.4131588250002096,,300.0,
