method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
no_repair,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.4980952380952381,0.4848126984126984,1.0942407979826114,0.4044444444444445,0.0,0.0761610929994276,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.4351180373399166,0.3155703580349708,0.3682795698924731,0.6844296419650291,0.0,0.0,0.0
majority,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.8961904761904762,0.8722920634920636,0.4578725321711371,0.9,0.581561450628335,0.0914761390004059,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0533868230211387,0.1240632805995004,0.8587755102040816,0.8759367194004996,0.0,0.0,0.0
iterative_truth,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.9085714285714286,0.8843428571428572,0.3623973083871152,1.0,0.6688139310330539,0.2755204570003116,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0478321246721185,0.0999167360532889,0.8745954692556634,0.9000832639467111,0.0,0.0,0.0
source_dependence,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.941904761904762,0.9167873015873016,0.1432342386400013,0.9577777777777776,0.869101719745714,0.1205829040000026,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0165097978706989,0.0462114904246461,0.9553794829024188,0.953788509575354,1.0,0.4444444444444444,0.6153846153846153
dependency_truth,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.956190476190476,0.9306920634920636,0.0407239277168319,1.0,0.9627833948506468,0.3105366409999988,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0086406418762536,0.0087427144046627,0.9770209273697168,0.9912572855953372,1.0,0.4444444444444444,0.6153846153846153
parc,0.3,15000,150,12,1296,351,177,all,1.0,coordinated,0.9542857142857144,0.9288380952380952,0.043437086323001,1.0,0.9603039053167424,0.34101288400052,150.0,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.0266666666666666,0.0266666666666666,0.0095664249344237,0.0099916736053288,0.9745901639344262,0.9900083263946712,1.0,0.4444444444444444,0.6153846153846153
no_repair,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.4723809523809524,0.4660825396825397,0.9368108072702922,0.4733333333333334,0.0,0.0940411040000981,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.4900634249471459,0.2913987138263665,0.3364503816793893,0.7086012861736335,0.0,0.0,0.0
majority,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.9266666666666666,0.9143111111111112,0.4368982602818949,0.9333333333333332,0.5336323440215829,0.1071169139995618,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0421423537702607,0.07516077170418,0.885,0.92483922829582,0.0,0.0,0.0
iterative_truth,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.9695238095238096,0.9565968253968256,0.0563345146916289,1.0,0.9398656438904904,0.2966958760007401,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0163495419309372,0.0060289389067524,0.95519505600618,0.9939710610932476,0.0,0.0,0.0
source_dependence,0.3,15001,150,12,1385,386,201,all,1.0,coordinated,0.9666666666666668,0.953777777777778,0.032783070809483,0.9822222222222222,0.9650056654395274,0.1314426349999848,150.0,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.0133333333333333,0.0133333333333333,0.0176180408738548,0.0180868167202572,0.9513239875389408,0.9819131832797428,1.0,0.6666666666666666,0.8
