method,budget,seed,n_entities,n_sources,n_records,n_attacked_records,n_duplicates,operators,trust_alpha,attack_mode,cell_accuracy,integrated_quality,aggregate_distortion,data_quality_score,attack_success_reduction,runtime_sec,n_output_rows,entity_precision,entity_recall,entity_f1,duplicate_output_rate,missing_entity_rate,false_positive_rate,false_negative_rate,repair_precision,repair_recall,group_precision,group_recall,group_f1
provenance_unaware,0.2,11000,300,12,2442,365,108,all,0.0,coordinated,0.9447619047619048,0.9416126984126983,0.1158064550107798,0.9477777777777778,0.8571751349634136,0.2262120240002332,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0354945575011831,0.0319320009189065,0.9035162950257288,0.9680679990810936,0.0,0.0,0.0
dependency_truth,0.2,11000,300,12,2442,365,108,all,0.0,coordinated,0.9866666666666668,0.9833777777777778,0.0207649555888252,1.0,0.9743904432685674,0.6623843320003289,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0056791292001893,0.0068917987594762,0.9836177474402732,0.9931082012405238,1.0,0.6666666666666666,0.8
parc,0.2,11000,300,12,2442,365,108,all,0.0,coordinated,0.9866666666666668,0.9833777777777778,0.0290585797538782,1.0,0.96416186186585,0.7046625920002043,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0055213756112951,0.0084998851366873,0.9840401276789784,0.9915001148633128,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11001,300,12,2386,360,98,all,0.0,coordinated,0.9895238095238096,0.9895238095238096,0.0525031446777967,0.9855555555555556,0.9399289603546338,0.2536056100007045,300.0,1.0,1.0,1.0,0.0,0.0,0.0054140613085252,0.0100334448160535,0.9804029809550096,0.9899665551839464,0.0,0.0,0.0
dependency_truth,0.2,11001,300,12,2386,360,98,all,0.0,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.6795682000001761,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
parc,0.2,11001,300,12,2386,360,98,all,0.0,coordinated,0.9971428571428572,0.9971428571428572,0.0073542147023437,1.0,0.9915857359467488,0.6833278730000529,300.0,1.0,1.0,1.0,0.0,0.0,0.001372578923288,0.0033444816053511,0.994991652754591,0.9966555183946488,1.0,0.6666666666666666,0.8
provenance_unaware,0.2,11002,300,12,2405,381,104,all,0.0,coordinated,0.9952380952380953,0.9952380952380953,0.0190347567303072,0.9966666666666668,0.9735985848029078,0.2110514770001827,300.0,1.0,1.0,1.0,0.0,0.0,0.0027915416288645,0.0063846767757382,0.984189723320158,0.9936153232242618,0.0,0.0,0.0
dependency_truth,0.2,11002,300,12,2405,381,104,all,0.0,coordinated,0.9985714285714286,0.9985714285714286,0.0018526774006897,1.0,0.9974303162380846,0.6018720680003753,300.0,1.0,1.0,1.0,0.0,0.0,0.0006978854072161,0.0019952114924181,0.9960175228992432,0.9980047885075818,1.0,0.7777777777777778,0.8750000000000001
parc,0.2,11002,300,12,2405,381,104,all,0.0,coordinated,0.9990476190476192,0.9990476190476192,0.0005414394623577,1.0,0.9992490175602278,0.6606491020002068,300.0,1.0,1.0,1.0,0.0,0.0,0.0004187312443296,0.0011971268954509,0.9976086090075728,0.9988028731045492,1.0,0.7777777777777778,0.8750000000000001
provenance_unaware,0.2,11000,300,12,2442,365,108,all,0.25,coordinated,0.9423809523809524,0.9392396825396826,0.1230985284986527,0.9455555555555556,0.8481817726189279,0.2466584530002364,300.0,0.9966666666666668,0.9966666666666668,0.9966666666666668,0.0033333333333333,0.0033333333333333,0.0357311878845243,0.0385940730530668,0.9023285899094438,0.9614059269469332,0.0,0.0,0.0
